date,liturgicalDay,readingOrder,kind,title,displayReference,response,choiceGroup,choiceLabel,rangeOrder,bookCode,chapter,startVerse,endVerse,displayVerseOffset
2026-01-01,"Mary, Mother of God",1,firstReading,First Reading,Numbers 6:22–27,,,,1,NUM,6,22,27,0
2026-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,1,PSA,67,1,2,1
2026-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,2,PSA,67,4,4,1
2026-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,3,PSA,67,5,5,1
2026-01-01,"Mary, Mother of God",2,responsorialPsalm,Responsorial Psalm,"Psalm 67:2–3, 5, 6, 8",,,,4,PSA,67,7,7,1
2026-01-01,"Mary, Mother of God",3,secondReading,Second Reading,Galatians 4:4–7,,,,1,GAL,4,4,7,0
2026-01-01,"Mary, Mother of God",4,gospel,Gospel,Luke 2:16–21,,,,1,LUK,2,16,21,0
2026-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",1,firstReading,First Reading,1 John 2:22–28,,,,1,1JN,2,22,28,0
2026-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 2–3ab, 3cd-4",,,,1,PSA,98,1,1,0
2026-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 2–3ab, 3cd-4",,,,2,PSA,98,2,3,0
2026-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 2–3ab, 3cd-4",,,,3,PSA,98,3,4,0
2026-01-02,"Saints Basil the Great and Gregory Nazianzen, Bishops and Doctors",3,gospel,Gospel,John 1:19–28,,,,1,JHN,1,19,28,0
2026-01-03,The Most Holy Name of Jesus,1,firstReading,First Reading,1 John 2:29–3:6,,,,1,1JN,2,29,29,0
2026-01-03,The Most Holy Name of Jesus,1,firstReading,First Reading,1 John 2:29–3:6,,,,2,1JN,3,1,6,0
2026-01-03,The Most Holy Name of Jesus,2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 3cd-4, 5–6",,,,1,PSA,98,1,1,0
2026-01-03,The Most Holy Name of Jesus,2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 3cd-4, 5–6",,,,2,PSA,98,3,4,0
2026-01-03,The Most Holy Name of Jesus,2,responsorialPsalm,Responsorial Psalm,"Psalm 98:1, 3cd-4, 5–6",,,,3,PSA,98,5,6,0
2026-01-03,The Most Holy Name of Jesus,3,gospel,Gospel,John 1:29–34,,,,1,JHN,1,29,34,0
2026-01-04,Epiphany,1,firstReading,First Reading,Isaiah 60:1–6,,,,1,ISA,60,1,6,0
2026-01-04,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,1,PSA,72,1,2,0
2026-01-04,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,2,PSA,72,7,8,0
2026-01-04,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,3,PSA,72,10,11,0
2026-01-04,Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 7–8, 10–11, 12–13.",,,,4,PSA,72,12,13,0
2026-01-04,Epiphany,3,secondReading,Second Reading,"Ephesians 3:2–3a, 5–6",,,,1,EPH,3,2,3,0
2026-01-04,Epiphany,3,secondReading,Second Reading,"Ephesians 3:2–3a, 5–6",,,,2,EPH,3,5,6,0
2026-01-04,Epiphany,4,gospel,Gospel,Matthew 2:1–12,,,,1,MAT,2,1,12,0
2026-01-05,Monday after Epiphany,1,firstReading,First Reading,1 John 3:22–4:6,,,,1,1JN,3,22,24,0
2026-01-05,Monday after Epiphany,1,firstReading,First Reading,1 John 3:22–4:6,,,,2,1JN,4,1,6,0
2026-01-05,Monday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 2:7bc-8, 10–12a",,,,1,PSA,2,7,8,0
2026-01-05,Monday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 2:7bc-8, 10–12a",,,,2,PSA,2,10,12,0
2026-01-05,Monday after Epiphany,3,gospel,Gospel,"Matthew 4:12–17, 23–25",,,,1,MAT,4,12,17,0
2026-01-05,Monday after Epiphany,3,gospel,Gospel,"Matthew 4:12–17, 23–25",,,,2,MAT,4,23,25,0
2026-01-06,Tuesday after Epiphany,1,firstReading,First Reading,1 John 4:7–10,,,,1,1JN,4,7,10,0
2026-01-06,Tuesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 3–4, 7–8",,,,1,PSA,72,1,2,0
2026-01-06,Tuesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 3–4, 7–8",,,,2,PSA,72,3,4,0
2026-01-06,Tuesday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 3–4, 7–8",,,,3,PSA,72,7,8,0
2026-01-06,Tuesday after Epiphany,3,gospel,Gospel,Mark 6:34–44,,,,1,MRK,6,34,44,0
2026-01-07,"Saint Raymond of Penyafort, Priest",1,firstReading,First Reading,1 John 4:11–18,,,,1,1JN,4,11,18,0
2026-01-07,"Saint Raymond of Penyafort, Priest",2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 10, 12–13",,,,1,PSA,72,1,2,0
2026-01-07,"Saint Raymond of Penyafort, Priest",2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 10, 12–13",,,,2,PSA,72,10,10,0
2026-01-07,"Saint Raymond of Penyafort, Priest",2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 10, 12–13",,,,3,PSA,72,12,13,0
2026-01-07,"Saint Raymond of Penyafort, Priest",3,gospel,Gospel,Mark 6:45–52,,,,1,MRK,6,45,52,0
2026-01-08,Thursday after Epiphany,1,firstReading,First Reading,1 John 4:19–5:4,,,,1,1JN,4,19,21,0
2026-01-08,Thursday after Epiphany,1,firstReading,First Reading,1 John 4:19–5:4,,,,2,1JN,5,1,4,0
2026-01-08,Thursday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,1,PSA,72,1,2,0
2026-01-08,Thursday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,2,PSA,72,14,14,0
2026-01-08,Thursday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,3,PSA,72,15,15,0
2026-01-08,Thursday after Epiphany,2,responsorialPsalm,Responsorial Psalm,"Psalm 72:1–2, 14 and 15bc, 17",,,,4,PSA,72,17,17,0
